"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
562,"CLPS","CLPS Incorporation","Technology","Information Technology Services","Hong Kong",28.26,3.28,1.34,-2.90%,10716
563,"CLPT","ClearPoint Neuro, Inc.","Healthcare","Medical Devices","USA",239.29,,10.05,1.82%,148590
564,"CLRB","Cellectar Biosciences, Inc.","Healthcare","Biotechnology","USA",13.90,,2.11,3.43%,77805
565,"CLSD","Clearside Biomedical, Inc.","Healthcare","Biotechnology","USA",66.82,,1.07,1.90%,26905
566,"CLSK","CleanSpark, Inc.","Technology","Software - Infrastructure","USA",161.27,,3.46,18.49%,5546647
567,"CLWT","Euro Tech Holdings Company Limited","Industrials","Pollution & Treatment Controls","Hong Kong",9.81,7.81,1.25,-5.30%,26574
568,"CMBM","Cambium Networks Corporation","Technology","Communication Equipment","USA",508.95,79.83,18.92,1.72%,115085
569,"CMCL","Caledonia Mining Corporation Plc","Basic Materials","Gold","USA",130.59,4.46,10.10,1.00%,10845
570,"CMCM","Cheetah Mobile Inc.","Technology","Software - Application","China",53.77,,1.91,1.87%,15470
571,"CMCO","Columbus McKinnon Corporation","Industrials","Farm & Heavy Construction Machinery","USA",787.79,17.60,27.70,6.87%,323758
572,"CMCT","Creative Media & Community Trust Corporation","Real Estate","REIT - Office","USA",159.84,,6.75,0.00%,6820
573,"CMLS","Cumulus Media Inc.","Communication Services","Broadcasting","USA",136.75,2.90,7.22,1.12%,81354
574,"CMMB","Chemomab Therapeutics Ltd.","Healthcare","Biotechnology","Israel",23.13,,2.02,-0.98%,31173
575,"CMPO","CompoSecure, Inc.","Industrials","Metal Fabrication","USA",427.54,12.20,5.65,6.40%,42143
576,"CMPR","Cimpress plc","Communication Services","Advertising Agencies","Ireland",604.77,,22.96,6.39%,265243
577,"CMPS","COMPASS Pathways plc","Healthcare","Medical Care Facilities","United Kingdom",422.46,,10.39,6.24%,275959
578,"CMRA","Comera Life Sciences Holdings, Inc.","Healthcare","Biotechnology","USA",28.56,,1.57,3.97%,67512
579,"CMRE","Costamare Inc.","Industrials","Marine Shipping","Monaco",1206.24,2.47,9.76,1.99%,534568
580,"CMT","Core Molding Technologies, Inc.","Basic Materials","Specialty Chemicals","USA",92.71,28.06,9.99,1.52%,5387
581,"CMTL","Comtech Telecommunications Corp.","Technology","Communication Equipment","USA",268.32,,9.60,5.38%,225438
582,"CMU","MFS High Yield Municipal Trust","Financial","Closed-End Fund - Debt","USA",82.99,162.78,2.93,-0.51%,76335
583,"CNCE","Concert Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",275.49,,5.57,2.77%,564320
584,"CND","Concord Acquisition Corp","Financial","Shell Companies","USA",356.03,,10.10,0.10%,32669
585,"CNDA","Concord Acquisition Corp II","Financial","Shell Companies","USA",340.37,24.13,9.75,-0.10%,15201
586,"CNDB","Concord Acquisition Corp III","Financial","Shell Companies","USA",347.76,,10.04,0.00%,0
587,"CNEY","CN Energy Group. Inc.","Basic Materials","Specialty Chemicals","China",43.86,13.10,1.90,0.53%,106350
588,"CNFR","Conifer Holdings, Inc.","Financial","Insurance - Property & Casualty","USA",20.48,,1.65,9.27%,1669
589,"CNOB","ConnectOne Bancorp, Inc.","Financial","Banks - Regional","USA",962.76,8.08,25.19,1.74%,77293
590,"CNTX","Context Therapeutics Inc.","Healthcare","Biotechnology","USA",17.92,,1.10,7.84%,128119
591,"CNTY","Century Casinos, Inc.","Consumer Cyclical","Resorts & Casinos","USA",218.86,9.82,7.56,3.56%,42675
592,"COCO","The Vita Coco Company, Inc.","Consumer Defensive","Beverages - Non-Alcoholic","USA",591.00,44.08,10.58,-2.13%,398497
593,"COCP","Cocrystal Pharma, Inc.","Healthcare","Biotechnology","USA",17.93,,2.15,3.44%,30478
594,"CODA","Coda Octopus Group, Inc.","Industrials","Aerospace & Defense","USA",67.18,19.60,6.35,2.58%,17439
595,"CODI","Compass Diversified","Industrials","Conglomerates","USA",1385.00,,19.54,3.28%,235882
596,"CODX","Co-Diagnostics, Inc.","Healthcare","Diagnostics & Research","USA",105.66,3.65,3.24,1.57%,251700
597,"COE","China Online Education Group","Consumer Defensive","Education & Training Services","China",36.06,2.67,1.61,3.87%,13685
598,"COGT","Cogent Biosciences, Inc.","Healthcare","Biotechnology","USA",863.56,,13.47,0.67%,576011
599,"COHN","Cohen & Company Inc.","Financial","Capital Markets","USA",17.38,,9.93,6.81%,8134
600,"COHU","Cohu, Inc.","Technology","Semiconductor Equipment & Materials","USA",1389.73,15.77,30.37,1.54%,366582
601,"COLI","Colicity Inc.","Financial","Shell Companies","USA",428.27,25.13,9.90,0.10%,79686
602,"COLIU","Colicity Inc.","Financial","Shell Companies","USA",426.94,,9.89,0.00%,806
603,"COLL","Collegium Pharmaceutical, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",575.85,,17.61,0.00%,96171
604,"CONN","Conn's, Inc.","Consumer Cyclical","Specialty Retail","USA",184.71,6.77,8.08,4.39%,246538
605,"COOL","Corner Growth Acquisition Corp.","Financial","Shell Companies","USA",500.50,21.62,10.01,0.10%,311
606,"COOLU","Corner Growth Acquisition Corp.","Financial","Shell Companies","USA",500.00,,10.00,0.00%,0
607,"CORR","CorEnergy Infrastructure Trust, Inc.","Real Estate","REIT - Diversified","USA",30.84,,1.85,3.93%,34308
608,"COVAU","COVA Acquisition Corp.","Financial","Shell Companies","USA",373.13,,9.98,-0.30%,200
609,"COWN","Cowen Inc.","Financial","Capital Markets","USA",1085.21,8.37,38.73,-0.05%,270434
610,"CPAC","Cementos Pacasmayo S.A.A.","Basic Materials","Building Materials","Peru",481.95,9.26,5.10,0.00%,17441
611,"CPAR","Catalyst Partners Acquisition Corp.","Financial","Shell Companies","USA",445.51,10.77,9.92,0.15%,66158
612,"CPARU","Catalyst Partners Acquisition Corp.","Financial","Shell Companies","USA",445.08,,9.91,0.00%,867
613,"CPF","Central Pacific Financial Corp.","Financial","Banks - Regional","USA",526.74,6.69,19.21,-2.04%,224429
614,"CPHC","Canterbury Park Holding Corporation","Consumer Cyclical","Gambling","USA",111.91,8.76,22.98,-0.95%,1020
615,"CPIX","Cumberland Pharmaceuticals Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",34.84,,2.30,-2.13%,16824
616,"CPLP","Capital Product Partners L.P.","Industrials","Marine Shipping","Greece",301.90,3.06,15.02,-0.27%,36910
617,"CPS","Cooper-Standard Holdings Inc.","Consumer Cyclical","Auto Parts","USA",133.17,,8.13,14.03%,107719
618,"CPSH","CPS Technologies Corporation","Technology","Electronic Components","USA",42.74,11.47,2.97,-1.00%,25930
619,"CPSI","Computer Programs and Systems, Inc.","Healthcare","Health Information Services","USA",442.02,23.41,30.76,2.26%,61877
620,"CPSS","Consumer Portfolio Services, Inc.","Financial","Credit Services","USA",128.69,2.29,6.63,11.62%,239494
621,"CPTN","Cepton, Inc.","Technology","Software - Application","USA",358.25,,2.47,-1.20%,219256
622,"CPZ","Calamos Long/Short Equity & Dynamic Income Term Trust","Financial","Closed-End Fund - Equity","USA",306.65,,15.62,2.83%,41728
623,"CRBU","Caribou Biosciences, Inc.","Healthcare","Biotechnology","USA",554.35,,9.77,3.28%,405971
624,"CRD-A","Crawford & Company","Financial","Insurance Brokers","USA",284.20,11.62,6.16,2.16%,15842
625,"CRD-B","Crawford & Company","Financial","Insurance Brokers","USA",285.16,12.16,5.52,4.15%,8167
626,"CRDF","Cardiff Oncology, Inc.","Healthcare","Biotechnology","USA",66.77,,1.52,7.80%,237485
627,"CREC","Crescera Capital Acquisition Corp.","Financial","Shell Companies","Brazil",271.25,,10.11,-0.10%,68
628,"CREG","Smart Powerr Corp.","Industrials","Waste Management","China",22.73,,2.91,3.93%,3261
629,"CRESY","Cresud Sociedad Anonima, Comercial, Inmobiliaria, Financiera y Agropecuaria","Consumer Defensive","Farm Products","Argentina",603.19,1.48,5.30,3.72%,65188
630,"CRMD","CorMedix Inc.","Healthcare","Biotechnology","USA",129.45,,3.12,5.41%,109934
631,"CRNC","Cerence Inc.","Technology","Software - Application","USA",694.21,,17.46,9.95%,530359
632,"CRNX","Crinetics Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",940.98,,17.92,5.47%,512991
633,"CRS","Carpenter Technology Corporation","Industrials","Metal Fabrication","USA",1712.16,,36.90,2.05%,208584
634,"CRT","Cross Timbers Royalty Trust","Energy","Oil & Gas E&P","USA",136.03,14.92,22.90,0.62%,50422
635,"CRTO","Criteo S.A.","Communication Services","Advertising Agencies","France",1550.64,20.39,26.18,-1.32%,316375
636,"CRU","Crucible Acquisition Corporation","Financial","Shell Companies","USA",324.05,27.15,10.02,0.10%,406592
637,"CRWS","Crown Crafts, Inc.","Consumer Cyclical","Apparel Manufacturing","USA",58.70,6.74,5.80,-0.34%,3153
638,"CSBR","Champions Oncology, Inc.","Healthcare","Biotechnology","USA",98.07,291.67,7.00,-1.96%,6122
639,"CSCW","Color Star Technology Co., Ltd.","Communication Services","Entertainment","USA",7.94,,1.26,0.00%,255728
640,"CSII","Cardiovascular Systems, Inc.","Healthcare","Medical Devices","USA",603.16,,14.74,2.86%,401293
641,"CSIQ","Canadian Solar Inc.","Technology","Solar","Canada",1878.04,13.60,29.73,3.27%,772050
642,"CSLM","Consilium Acquisition Corp I, Ltd.","Financial","Shell Companies","USA",236.25,,9.96,0.10%,17
643,"CSPI","CSP Inc.","Technology","Information Technology Services","USA",33.07,39.33,7.43,1.12%,1405
644,"CSSE","Chicken Soup for the Soul Entertainment, Inc.","Communication Services","Broadcasting","USA",137.64,,6.34,5.49%,71303
645,"CSTE","Caesarstone Ltd.","Industrials","Building Products & Equipment","Israel",326.34,16.17,9.57,2.68%,35741
646,"CSTL","Castle Biosciences, Inc.","Healthcare","Diagnostics & Research","USA",582.88,,21.88,7.57%,278952
647,"CSTR","CapStar Financial Holdings, Inc.","Financial","Banks - Regional","USA",355.16,7.56,15.75,-1.65%,112966
648,"CSV","Carriage Services, Inc.","Consumer Cyclical","Personal Services","USA",463.55,9.99,31.47,2.31%,61935
649,"CSWC","Capital Southwest Corporation","Financial","Asset Management","USA",485.45,8.91,17.90,1.65%,282674
650,"CTAQ","Carney Technology Acquisition Corp. II","Financial","Shell Companies","USA",512.14,50.74,9.99,0.05%,144385
651,"CTAQU","Carney Technology Acquisition Corp. II","Financial","Shell Companies","USA",511.61,,9.99,0.00%,0
652,"CTG","Computer Task Group, Incorporated","Technology","Information Technology Services","USA",112.99,7.57,7.39,1.51%,14009
653,"CTHR","Charles & Colvard, Ltd.","Consumer Cyclical","Luxury Goods","USA",33.01,13.51,1.03,3.84%,19108
654,"CTO","CTO Realty Growth, Inc.","Real Estate","Real Estate - Development","USA",359.86,15.65,19.97,4.06%,167782
655,"CTR","ClearBridge MLP and Midstream Total Return Fund Inc.","Financial","Closed-End Fund - Equity","USA",205.64,,29.37,1.03%,27167
656,"CTRN","Citi Trends, Inc.","Consumer Cyclical","Apparel Retail","USA",179.96,4.03,22.00,7.90%,204257
657,"CTSO","Cytosorbents Corporation","Healthcare","Medical Devices","USA",72.66,,1.70,8.28%,32507
658,"CUBA","The Herzfeld Caribbean Basin Fund Inc.","Financial","Closed-End Fund - Equity","USA",26.69,,4.05,2.05%,21788
659,"CUBI","Customers Bancorp, Inc.","Financial","Banks - Regional","USA",1067.82,3.29,33.08,3.05%,250546
660,"CUE","Cue Biopharma, Inc.","Healthcare","Biotechnology","USA",94.16,,2.62,4.38%,41127
661,"CULP","Culp, Inc.","Consumer Cyclical","Textile Manufacturing","USA",49.47,,3.97,-1.24%,35821
662,"CURI","CuriosityStream Inc.","Communication Services","Broadcasting","USA",67.57,,1.29,12.17%,87813
663,"CURO","CURO Group Holdings Corp.","Financial","Credit Services","USA",172.28,,4.56,5.07%,135726
664,"CVCY","Central Valley Community Bancorp","Financial","Banks - Regional","USA",215.48,8.39,18.37,-1.08%,14506
665,"CVEO","Civeo Corporation","Industrials","Specialty Business Services","USA",401.27,21.07,29.44,0.41%,23971
666,"CVGI","Commercial Vehicle Group, Inc.","Consumer Cyclical","Auto Parts","USA",147.48,8.73,4.48,5.41%,135475
667,"CVGW","Calavo Growers, Inc.","Consumer Defensive","Packaged Foods","USA",578.49,,33.00,2.87%,70670
668,"CVLG","Covenant Logistics Group, Inc.","Industrials","Trucking","USA",479.25,7.39,36.17,-1.87%,161415
669,"CVLY","Codorus Valley Bancorp, Inc.","Financial","Banks - Regional","USA",194.19,15.54,20.17,1.69%,5466
670,"CVM","CEL-SCI Corporation","Healthcare","Biotechnology","USA",136.23,,3.08,-0.32%,199150
671,"CVR","Chicago Rivet & Machine Co.","Industrials","Tools & Accessories","USA",25.26,29.13,25.78,0.16%,518
672,"CVRX","CVRx, Inc.","Healthcare","Medical Devices","USA",206.97,,10.39,6.67%,151566
673,"CVU","CPI Aerostructures, Inc.","Industrials","Aerospace & Defense","USA",24.03,4.69,2.08,9.21%,160734
674,"CVV","CVD Equipment Corporation","Industrials","Specialty Industrial Machinery","USA",34.50,12.14,5.34,0.37%,26157
675,"CWBC","Community West Bancshares","Financial","Banks - Regional","USA",121.99,9.35,13.91,0.00%,240
676,"CWBR","CohBar, Inc.","Healthcare","Biotechnology","USA",6.66,,2.25,3.21%,9566
677,"CWCO","Consolidated Water Co. Ltd.","Utilities","Utilities - Regulated Water","Cayman Islands",258.37,30.91,17.34,1.40%,77288
678,"CXDO","Crexendo, Inc.","Communication Services","Telecom Services","USA",52.52,,2.53,-6.99%,23667
679,"CXE","MFS High Income Municipal Trust","Financial","Closed-End Fund - Debt","USA",104.04,8.25,3.30,1.54%,127758
680,"CXH","MFS Investment Grade Municipal Trust","Financial","Closed-End Fund - Debt","USA",60.13,12.22,6.60,0.15%,16049
681,"CYAD","Celyad Oncology SA","Healthcare","Biotechnology","Belgium",17.17,,1.08,1.89%,15444
682,"CYAN","Cyanotech Corporation","Consumer Defensive","Packaged Foods","USA",12.41,11.12,2.03,0.23%,5985
683,"CYCC","Cyclacel Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",16.63,,1.33,3.91%,126194
684,"CYD","China Yuchai International Limited","Industrials","Specialty Industrial Machinery","Singapore",288.05,18.59,7.10,1.87%,28201
685,"CYRN","Cyren Ltd.","Technology","Software - Infrastructure","Israel",8.75,,1.12,3.70%,152251
686,"CYRX","Cryoport, Inc.","Industrials","Integrated Freight & Logistics","USA",1233.09,,26.32,8.00%,409640
687,"CYT","Cyteir Therapeutics, Inc.","Healthcare","Biotechnology","USA",63.37,,1.75,2.94%,28740
688,"CYTH","Cyclo Therapeutics, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",17.24,,1.97,4.71%,67330
689,"CYTO","Altamira Therapeutics Ltd.","Healthcare","Biotechnology","Bermuda",81.39,,8.46,2069.23%,938952
690,"CZNC","Citizens & Northern Corporation","Financial","Banks - Regional","USA",385.15,13.53,25.01,0.48%,16718
691,"CZWI","Citizens Community Bancorp, Inc.","Financial","Banks - Regional","USA",132.05,6.46,12.33,1.23%,9236
692,"DAIO","Data I/O Corporation","Technology","Electronic Components","USA",27.14,,3.13,2.96%,7288
693,"DAKT","Daktronics, Inc.","Technology","Computer Hardware","USA",143.97,,3.25,4.17%,118805
694,"DALN","DallasNews Corporation","Communication Services","Publishing","USA",27.11,,4.92,-0.40%,6128
695,"DALS","DA32 Life Science Tech Acquisition Corp.","Financial","Shell Companies","USA",250.60,,9.77,0.21%,600
696,"DAO","Youdao, Inc.","Communication Services","Internet Content & Information","China",471.65,,3.65,0.27%,92718
697,"DAOOU","Crypto 1 Acquisition Corp","Financial","Shell Companies","USA",304.05,,10.56,5.02%,2
698,"DAWN","Day One Biopharmaceuticals, Inc.","Healthcare","Biotechnology","USA",1436.54,,19.85,0.66%,516273
699,"DBI","Designer Brands Inc.","Consumer Cyclical","Apparel Retail","USA",961.87,6.89,15.10,5.23%,1300013
700,"DBL","DoubleLine Opportunistic Credit Fund","Financial","Closed-End Fund - Debt","USA",231.15,,14.77,2.14%,39124
701,"DBTX","Decibel Therapeutics, Inc.","Healthcare","Biotechnology","USA",105.49,,4.15,3.23%,21304
702,"DC","Dakota Gold Corp.","Basic Materials","Gold","USA",223.49,75.23,3.31,4.09%,118911
703,"DCBO","Docebo Inc.","Technology","Software - Application","Canada",1316.61,,29.58,4.86%,26437
704,"DCOM","Dime Community Bancshares, Inc.","Financial","Banks - Regional","USA",1231.78,9.42,32.83,0.86%,89906
705,"DCPH","Deciphera Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",1083.62,,16.62,1.71%,652496
706,"DCTH","Delcath Systems, Inc.","Healthcare","Medical Devices","USA",24.10,,2.89,-0.69%,27582
707,"DDF","Delaware Investments Dividend and Income Fund, Inc.","Financial","Closed-End Fund - Equity","USA",60.51,36.14,7.95,-0.38%,22635
708,"DDI","DoubleDown Interactive Co., Ltd.","Communication Services","Electronic Gaming & Multimedia","South Korea",495.30,18.29,9.75,0.52%,5932
709,"DENN","Denny's Corporation","Consumer Cyclical","Restaurants","USA",610.61,6.83,10.72,5.93%,618360
710,"DERM","Journey Medical Corporation","Healthcare","Drug Manufacturers - Specialty & Generic","USA",28.73,,2.50,0.00%,2108
711,"DESP","Despegar.com, Corp.","Consumer Cyclical","Travel Services","Argentina",445.77,,6.50,3.01%,191968
712,"DEX","Delaware Enhanced Global Dividend and Income Fund","Financial","Closed-End Fund - Debt","USA",75.73,7.35,7.13,1.71%,25353
713,"DFFN","Diffusion Pharmaceuticals Inc.","Healthcare","Biotechnology","USA",10.15,,4.95,6.22%,15865
714,"DFH","Dream Finders Homes, Inc.","Consumer Cyclical","Residential Construction","USA",965.58,6.38,10.68,5.33%,183521
715,"DFLI","Dragonfly Energy Holdings Corp","Industrials","Electrical Equipment & Parts","USA",342.10,51.25,8.20,3.54%,126397
716,"DFP","Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.","Financial","Closed-End Fund - Debt","USA",377.38,8.36,18.40,-0.54%,100222
717,"DGICA","Donegal Group Inc.","Financial","Insurance - Property & Casualty","USA",469.24,131.33,14.84,0.34%,45109
718,"DGII","Digi International Inc.","Technology","Communication Equipment","USA",1346.25,110.08,39.41,3.57%,470827
719,"DGNU","Dragoneer Growth Opportunities Corp. III","Financial","Shell Companies","USA",530.82,28.30,9.85,0.00%,13635
720,"DH","Definitive Healthcare Corp.","Healthcare","Health Information Services","USA",1632.96,,16.00,6.31%,392075
721,"DHAC","Digital Health Acquisition Corp.","Financial","Shell Companies","USA",153.52,,10.38,1.27%,202
722,"DHBCU","DHB Capital Corp.","Financial","Shell Companies","USA",355.78,108.68,9.89,0.20%,424
723,"DHHC","DiamondHead Holdings Corp.","Financial","Shell Companies","USA",427.10,30.38,9.90,0.05%,1
724,"DHHCU","DiamondHead Holdings Corp.","Financial","Shell Companies","USA",425.65,132.40,9.93,0.00%,0
725,"DHX","DHI Group, Inc.","Industrials","Staffing & Employment Services","USA",294.66,618.00,6.18,3.52%,158346
726,"DIAX","Nuveen Dow 30 Dynamic Overwrite Fund","Financial","Closed-End Fund - Equity","USA",535.14,5.82,14.72,1.20%,116393
727,"DIBS","1stdibs.Com, Inc.","Consumer Cyclical","Internet Retail","USA",254.76,,6.79,-0.73%,199176
728,"DICE","DICE Therapeutics, Inc.","Healthcare","Biotechnology","USA",1521.55,,34.81,1.22%,674428
729,"DLA","Delta Apparel, Inc.","Consumer Cyclical","Apparel Manufacturing","USA",103.56,3.99,15.14,-2.95%,20441
730,"DLCA","Deep Lake Capital Acquisition Corp.","Financial","Shell Companies","USA",258.44,19.90,9.99,0.00%,922
731,"DLCAU","Deep Lake Capital Acquisition Corp.","Financial","Shell Companies","USA",258.49,40.45,9.99,0.00%,1100
732,"DLHC","DLH Holdings Corp.","Industrials","Specialty Business Services","USA",164.55,7.86,12.58,0.56%,9005
733,"DLNG","Dynagas LNG Partners LP","Energy","Oil & Gas Midstream","Greece",113.42,2.17,3.04,3.40%,43586
734,"DLPN","Dolphin Entertainment, Inc.","Communication Services","Entertainment","USA",28.55,,3.08,0.65%,13335
735,"DLTH","Duluth Holdings Inc.","Consumer Cyclical","Apparel Retail","USA",267.70,12.80,8.27,6.71%,79216
736,"DLX","Deluxe Corporation","Communication Services","Advertising Agencies","USA",713.68,12.65,16.96,5.41%,259883
737,"DLY","DoubleLine Yield Opportunities Fund","Financial","Closed-End Fund - Debt","USA",634.32,,13.23,2.08%,338705
738,"DMAC","DiaMedica Therapeutics Inc.","Healthcare","Biotechnology","USA",36.93,,1.42,2.90%,29383
739,"DMB","BNY Mellon Municipal Bond Infrastructure Fund, Inc.","Financial","Asset Management","USA",188.59,113.89,10.25,0.39%,70517
740,"DMF","BNY Mellon Municipal Income, Inc.","Financial","Asset Management","USA",122.68,8.94,5.91,-0.34%,89338
741,"DMLP","Dorchester Minerals, L.P.","Energy","Oil & Gas E&P","USA",1175.04,10.59,30.72,1.35%,97258
742,"DMO","Western Asset Mortgage Opportunity Fund Inc.","Financial","Asset Management","USA",121.05,5.95,10.59,-0.19%,66449
743,"DMRC","Digimarc Corporation","Technology","Information Technology Services","USA",316.74,,15.68,2.38%,89405
744,"DMS","Digital Media Solutions, Inc.","Communication Services","Advertising Agencies","USA",119.30,,1.88,0.00%,32625
745,"DMTK","DermTech, Inc.","Healthcare","Diagnostics & Research","USA",97.62,,3.21,5.25%,372592
746,"DMYS","dMY Technology Group, Inc. VI","Financial","Shell Companies","USA",299.74,52.51,9.93,-0.15%,20415
747,"DNAB","Social Capital Suvretta Holdings Corp. II","Financial","Shell Companies","USA",314.89,,9.87,-0.16%,16165
748,"DNAD","Social Capital Suvretta Holdings Corp. IV","Financial","Shell Companies","USA",315.07,,9.88,0.10%,14127
749,"DNAY","Codex DNA, Inc.","Healthcare","Medical Devices","USA",54.34,,1.91,2.69%,56911
750,"DOLE","Dole plc","Consumer Defensive","Farm Products","Ireland",748.40,,7.96,3.65%,596780
751,"DOMO","Domo, Inc.","Technology","Software - Application","USA",625.00,,19.16,10.18%,598593
752,"DPG","Duff & Phelps Utility and Infrastructure Fund Inc.","Financial","Closed-End Fund - Equity","USA",490.09,10.47,12.88,1.90%,66266
753,"DPSI","Decisionpoint Systems, Inc.","Technology","Software - Application","USA",46.90,35.32,6.71,-4.96%,13083
754,"DRAY","Macondray Capital Acquisition Corp. I","Financial","Shell Companies","USA",360.84,21.83,10.04,0.00%,16
755,"DRCT","Direct Digital Holdings, Inc.","Communication Services","Advertising Agencies","USA",39.79,,2.66,11.30%,26395
756,"DRD","DRDGOLD Limited","Basic Materials","Gold","South Africa",425.39,7.19,5.15,-0.19%,176862
757,"DRIO","DarioHealth Corp.","Healthcare","Diagnostics & Research","USA",99.88,,4.54,3.42%,102610
758,"DRQ","Dril-Quip, Inc.","Energy","Oil & Gas Equipment & Services","USA",814.19,,24.71,0.86%,249395
759,"DRTS","Alpha Tau Medical Ltd.","Healthcare","Biotechnology","Israel",320.41,,4.88,2.52%,41873
760,"DRUG","Bright Minds Biosciences Inc.","Healthcare","Biotechnology","Canada",17.19,,1.01,3.06%,339426
761,"DSGN","Design Therapeutics, Inc.","Healthcare","Biotechnology","USA",854.38,,15.35,4.42%,448197
762,"DSGR","Distribution Solutions Group, Inc.","Industrials","Industrial Distribution","USA",552.55,,28.60,3.47%,55670
763,"DSKE","Daseke, Inc.","Industrials","Trucking","USA",395.61,7.95,6.23,2.13%,294000
764,"DSM","BNY Mellon Strategic Municipal Bond Fund, Inc.","Financial","Closed-End Fund - Debt","USA",271.36,10.98,5.49,-0.18%,219200
765,"DSP","Viant Technology Inc.","Technology","Software - Application","USA",258.24,,4.26,1.43%,38668
766,"DSU","BlackRock Debt Strategies Fund, Inc.","Financial","Closed-End Fund - Debt","USA",423.69,12.45,9.09,0.55%,247937
767,"DSWL","Deswell Industries, Inc.","Technology","Electronic Components","China",51.66,6.18,3.15,-1.57%,33121
768,"DSX","Diana Shipping Inc.","Industrials","Marine Shipping","Greece",354.04,3.13,4.24,0.24%,949524
769,"DTC","Solo Brands, Inc.","Consumer Cyclical","Internet Retail","USA",369.89,,3.91,6.83%,433613
770,"DTF","DTF Tax-Free Income 2028 Term Fund Inc.","Financial","Closed-End Fund - Debt","USA",75.22,25.48,10.70,-1.74%,33828
771,"DTRT","DTRT Health Acquisition Corp.","Financial","Shell Companies","USA",293.25,30.72,10.20,0.10%,26994
772,"DTSS","Datasea Inc.","Technology","Software - Infrastructure","China",39.96,,1.59,-3.05%,10544
773,"DTST","Data Storage Corporation","Technology","Information Technology Services","USA",13.17,,1.99,1.54%,64285
774,"DUET","DUET Acquisition Corp.","Financial","Shell Companies","Malaysia",100.15,,9.98,0.00%,0
775,"DUNE","Dune Acquisition Corporation","Financial","Shell Companies","USA",53.62,15.58,9.75,0.21%,460
776,"DUO","Fangdd Network Group Ltd.","Real Estate","Real Estate Services","China",7.38,,1.26,89.64%,11255387
777,"DUOT","Duos Technologies Group, Inc.","Technology","Software - Application","USA",24.32,,4.00,0.25%,936
778,"DWAC","Digital World Acquisition Corp.","Financial","Shell Companies","USA",616.45,,17.20,5.98%,554291
779,"DWACU","Digital World Acquisition Corp.","Financial","Shell Companies","USA",649.13,,18.41,-0.49%,703
780,"DWSN","Dawson Geophysical Company","Energy","Oil & Gas Equipment & Services","USA",38.28,,1.76,-0.20%,1924
781,"DX","Dynex Capital, Inc.","Real Estate","REIT - Mortgage","USA",508.39,2.56,11.44,4.28%,2006518
782,"DXLG","Destination XL Group, Inc.","Consumer Cyclical","Apparel Retail","USA",401.73,4.74,6.59,7.15%,1152019
783,"DXPE","DXP Enterprises, Inc.","Industrials","Industrial Distribution","USA",490.54,16.05,26.66,1.21%,59104
784,"DXR","Daxor Corporation","Financial","Asset Management","USA",46.36,9.93,11.62,1.57%,983
785,"DXYN","The Dixie Group, Inc.","Consumer Cyclical","Textile Manufacturing","USA",16.34,,1.00,5.79%,28843
786,"DYAI","Dyadic International, Inc.","Healthcare","Biotechnology","USA",59.36,,2.08,4.00%,47938
787,"DYN","Dyne Therapeutics, Inc.","Healthcare","Biotechnology","USA",577.54,,11.36,-0.09%,178130
788,"DZSI","DZS Inc.","Technology","Communication Equipment","USA",413.69,,14.94,6.79%,92693
789,"EAC","Edify Acquisition Corp.","Financial","Shell Companies","USA",342.58,24.87,9.95,0.00%,271883
790,"EAD","Allspring Income Opportunities Fund","Financial","Asset Management","USA",378.95,4.37,6.29,1.94%,113603
791,"EARN","Ellington Residential Mortgage REIT","Real Estate","REIT - Mortgage","USA",87.77,,6.71,4.52%,103447
792,"EAT","Brinker International, Inc.","Consumer Cyclical","Restaurants","USA",1307.49,11.94,31.02,4.73%,695500
793,"EBACU","European Biotech Acquisition Corp.","Financial","Shell Companies","Netherlands",163.90,73.36,10.05,0.50%,478
794,"EBF","Ennis, Inc.","Industrials","Business Equipment & Supplies","USA",550.95,14.85,21.82,1.58%,82849
795,"EBIX","Ebix, Inc.","Technology","Software - Application","USA",587.17,8.78,19.83,4.81%,290427
796,"EBMT","Eagle Bancorp Montana, Inc.","Financial","Banks - Regional","USA",155.76,12.22,19.23,-1.54%,3284
797,"EBS","Emergent BioSolutions Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",930.22,11.09,19.16,4.02%,799075
798,"EBTC","Enterprise Bancorp, Inc.","Financial","Banks - Regional","USA",356.06,9.12,29.50,-3.91%,16891
799,"ECBK","ECB Bancorp, Inc.","Financial","Banks - Regional","USA",146.29,34.01,15.68,-0.70%,6045
800,"ECC","Eagle Point Credit Company Inc.","Financial","Closed-End Fund - Debt","USA",455.17,2.67,10.42,0.68%,519735
801,"ECCC","Eagle Point Credit Company Inc.","Financial","Asset Management","USA",444.24,11.14,20.32,-3.70%,6227
